Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinder,Upholstery,Engine
LAND ROVER,RANGE ROVER SPORT,4x4,USD,"US$ 76,000",https://cde.neoauto.pe/autos_usados/360x240/518808/518808_9311452.webp,2020,30327,Gasolina-Híbrido,Automática,"Lima, Lima",Rojo,6,tela,"2,995 cc"
BMW,X4 20i,4x4,USD,"US$ 34,490",https://cde.neoauto.pe/autos_usados/360x240/518808/518808_5745504.webp,2018,67400,Gasolina,Automática,"Lima, Lima",Plata,4,tela,"1,997 cc"
VOLVO,XC-40,4x4,USD,Consultar,https://cde.neoauto.pe/autos_usados/360x240/518808/518808_1406167.webp,2023,49770,Gasolina-Híbrido,Automática,"Lima, Lima",Azul,4,tela,"1,969 cc"
TOYOTA,RAV4,4x2,USD,"US$ 24,500",https://cde.neoauto.pe/autos_usados/360x240/155466/155466_7878299.webp,2022,48390,Gasolina,Automática,"Lima, Lima",Blanco,,tela,"2,000 cc"
VOLKSWAGEN,PASSAT,4x2,USD,"US$ 5,990",https://cde.neoauto.pe/autos_usados/360x240/677522/677522_6869067.webp,2006,160000,Gasolina,Automática - Secuencial,"Callao, Callao",Azul acero,4,Asientos de cuero,"2,000 cc"
MERCEDES BENZ,A-180,4x2,USD,"US$ 17,990",https://cde.neoauto.pe/autos_usados/360x240/518808/518808_8591489.webp,2018,41800,Gasolina,Mecánica,"Lima, Lima",Rojo,4,Asientos de cuero,"1,595 cc"
BMW,750LI,Posterior,USD,"US$ 29,500",https://cde.neoauto.pe/autos_usados/360x240/463366/463366_1060813.webp,2012,38000,Gasolina,Automática - Secuencial,"Lima, Lima",,8,tela,"4,400 cc"
MERCEDES BENZ,GLA 200,URBAN,USD,"US$ 22,990",https://cde.neoauto.pe/autos_usados/360x240/518808/518808_7875814.webp,2018,37200,Gasolina,Automática,"Lima, Lima",,4,Asientos de cuero,"1,595 cc"
FORD,RAPTOR,4x4,USD,"US$ 59,900",https://cde.neoauto.pe/autos_usados/360x240/463366/463366_8257190.webp,2018,41000,Gasolina,Automática - Secuencial,"Lima, Lima",Blanco,6,Asientos de cuero,"3,500 cc"
SUBARU,XV,4x4,USD,"US$ 15,500",https://cde.neoauto.pe/autos_usados/360x240/155466/155466_5806603.webp,2017,83700,Gasolina,Automática,"Lima, Lima",Azul,,tela,"2,600 cc"
VOLVO,XC-40,4x2,USD,"US$ 38,990",https://cde.neoauto.pe/autos_usados/360x240/518808/518808_7059211.webp,2022,62125,Gasolina-Híbrido,Automática,"Lima, Lima",Azul,3,tela,"1,477 cc"
FORD,MUSTANG,Posterior,USD,"US$ 8,000",https://cde.neoauto.pe/autos_usados/360x240/208640/208640_3682346.webp,1981,48200,Gasolina,Automática,"Lima, Lima",Beige,6,tela,"3,700 cc"
MERCEDES BENZ,CLA 45 AMG,,USD,"US$ 78,900",https://cde.neoauto.pe/autos_usados/360x240/662195/662195_4231257.webp,2023,5000,Gasolina,Automática - Secuencial,"Lima, Lima",,4,tela,"2,000 cc"
SUBARU,ALL NEW FORESTER,AWD,USD,"US$ 32,500",https://cde.neoauto.pe/autos_usados/360x240/675261/675261_6362351.webp,2023,3850,Gasolina,Automática - Secuencial,"Arequipa, Arequipa",Blanco,4,tela,"2,000 cc"
JAGUAR,F-PACE,4x4,USD,"US$ 35,990",https://cde.neoauto.pe/autos_usados/360x240/518808/518808_1198858.webp,2018,49000,Gasolina,Automática,"Lima, Lima",Gris Metálico,4,tela,"1,997 cc"
SUBARU,XV,AWD,USD,"US$ 17,300",https://cde.neoauto.pe/autos_usados/360x240/114176/114176_6721782.webp,2017,52121,Gasolina,Automática,"Lima, Lima",Blanco,4,tela,"2,000 cc"
MITSUBISHI,L200,4x4,USD,"US$ 14,800",https://cde.neoauto.pe/autos_usados/360x240/742882/742882_4093045.webp,2014,160000,Diesel,Mecánica,"Lima, Lima",Gris Oscuro,4,tela,"2,477 cc"
NISSAN,VERSA,4x2,USD,"US$ 8,700",https://cde.neoauto.pe/autos_usados/360x240/643129/643129_9627027.webp,2020,120000,Gasolina,Mecánica,"Lima, Lima",Plateado,4,tela,"1,600 cc"
KIA,SORENTO,4x2,USD,"US$ 35,000",https://cde.neoauto.pe/autos_usados/360x240/370026/370026_8843427.webp,2024,4500,Gasolina,Automática,"Lima, Lima",Gris Metálico,,tela,"2,497 cc"
